ID,Admitted
ID_003601,0
ID_003602,0
ID_003603,0
ID_003604,0
ID_003605,0
ID_003606,0
ID_003607,0
ID_003608,0
ID_003609,0
ID_003610,0
ID_003611,0
ID_003612,0
ID_003613,0
ID_003614,0
ID_003615,0
ID_003616,0
ID_003617,0
ID_003618,0
ID_003619,0
ID_003620,0
ID_003621,0
ID_003622,0
ID_003623,0
ID_003624,0
ID_003625,0
ID_003626,0
ID_003627,0
ID_003628,0
ID_003629,0
ID_003630,0
ID_003631,0
ID_003632,0
ID_003633,0
ID_003634,0
ID_003635,0
ID_003636,0
ID_003637,0
ID_003638,0
ID_003639,0
ID_003640,0
ID_003641,0
ID_003642,0
ID_003643,0
ID_003644,0
ID_003645,0
ID_003646,0
ID_003647,0
ID_003648,0
ID_003649,0
ID_003650,0
ID_003651,0
ID_003652,0
ID_003653,0
ID_003654,0
ID_003655,0
ID_003656,0
ID_003657,0
ID_003658,0
ID_003659,0
ID_003660,0
ID_003661,0
ID_003662,0
ID_003663,0
ID_003664,0
ID_003665,0
ID_003666,0
ID_003667,0
ID_003668,0
ID_003669,0
ID_003670,0
ID_003671,0
ID_003672,0
ID_003673,0
ID_003674,0
ID_003675,0
ID_003676,0
ID_003677,0
ID_003678,0
ID_003679,0
ID_003680,0
ID_003681,0
ID_003682,0
ID_003683,0
ID_003684,0
ID_003685,0
ID_003686,0
ID_003687,0
ID_003688,0
ID_003689,0
ID_003690,0
ID_003691,0
ID_003692,0
ID_003693,0
ID_003694,0
ID_003695,0
ID_003696,0
ID_003697,0
ID_003698,0
ID_003699,0
ID_003700,0
ID_003701,0
ID_003702,0
ID_003703,0
ID_003704,0
ID_003705,0
ID_003706,0
ID_003707,0
ID_003708,0
ID_003709,0
ID_003710,0
ID_003711,0
ID_003712,0
ID_003713,0
ID_003714,0
ID_003715,0
ID_003716,0
ID_003717,0
ID_003718,0
ID_003719,0
ID_003720,0
ID_003721,0
ID_003722,0
ID_003723,0
ID_003724,0
ID_003725,0
ID_003726,0
ID_003727,0
ID_003728,0
ID_003729,0
ID_003730,0
ID_003731,0
ID_003732,0
ID_003733,0
ID_003734,0
ID_003735,0
ID_003736,0
ID_003737,0
ID_003738,0
ID_003739,0
ID_003740,0
ID_003741,0
ID_003742,0
ID_003743,0
ID_003744,0
ID_003745,0
ID_003746,0
ID_003747,0
ID_003748,0
ID_003749,0
ID_003750,0
ID_003751,0
ID_003752,0
ID_003753,0
ID_003754,0
ID_003755,0
ID_003756,0
ID_003757,0
ID_003758,0
ID_003759,0
ID_003760,0
ID_003761,0
ID_003762,0
ID_003763,0
ID_003764,0
ID_003765,0
ID_003766,0
ID_003767,0
ID_003768,0
ID_003769,0
ID_003770,0
ID_003771,0
ID_003772,0
ID_003773,0
ID_003774,0
ID_003775,0
ID_003776,0
ID_003777,0
ID_003778,0
ID_003779,0
ID_003780,0
ID_003781,0
ID_003782,0
ID_003783,0
ID_003784,0
ID_003785,0
ID_003786,0
ID_003787,0
ID_003788,0
ID_003789,0
ID_003790,0
ID_003791,0
ID_003792,0
ID_003793,0
ID_003794,0
ID_003795,0
ID_003796,0
ID_003797,0
ID_003798,0
ID_003799,0
ID_003800,0
ID_003801,0
ID_003802,0
ID_003803,0
ID_003804,0
ID_003805,0
ID_003806,0
ID_003807,0
ID_003808,0
ID_003809,0
ID_003810,0
ID_003811,0
ID_003812,0
ID_003813,0
ID_003814,0
ID_003815,0
ID_003816,0
ID_003817,0
ID_003818,0
ID_003819,0
ID_003820,0
ID_003821,0
ID_003822,0
ID_003823,0
ID_003824,0
ID_003825,0
ID_003826,0
ID_003827,0
ID_003828,0
ID_003829,0
ID_003830,0
ID_003831,0
ID_003832,0
ID_003833,0
ID_003834,0
ID_003835,0
ID_003836,0
ID_003837,0
ID_003838,0
ID_003839,0
ID_003840,0
ID_003841,0
ID_003842,0
ID_003843,0
ID_003844,0
ID_003845,0
ID_003846,0
ID_003847,0
ID_003848,0
ID_003849,0
ID_003850,0
ID_003851,0
ID_003852,0
ID_003853,0
ID_003854,0
ID_003855,0
ID_003856,0
ID_003857,0
ID_003858,0
ID_003859,0
ID_003860,0
ID_003861,0
ID_003862,0
ID_003863,0
ID_003864,0
ID_003865,0
ID_003866,0
ID_003867,0
ID_003868,0
ID_003869,0
ID_003870,0
ID_003871,0
ID_003872,0
ID_003873,0
ID_003874,0
ID_003875,0
ID_003876,0
ID_003877,0
ID_003878,0
ID_003879,0
ID_003880,0
ID_003881,0
ID_003882,0
ID_003883,0
ID_003884,0
ID_003885,0
ID_003886,0
ID_003887,0
ID_003888,0
ID_003889,0
ID_003890,0
ID_003891,0
ID_003892,0
ID_003893,0
ID_003894,0
ID_003895,0
ID_003896,0
ID_003897,0
ID_003898,0
ID_003899,0
ID_003900,0
ID_003901,0
ID_003902,0
ID_003903,0
ID_003904,0
ID_003905,0
ID_003906,0
ID_003907,0
ID_003908,0
ID_003909,0
ID_003910,0
ID_003911,0
ID_003912,0
ID_003913,0
ID_003914,0
ID_003915,0
ID_003916,0
ID_003917,0
ID_003918,0
ID_003919,0
ID_003920,0
ID_003921,0
ID_003922,0
ID_003923,0
ID_003924,0
ID_003925,0
ID_003926,0
ID_003927,0
ID_003928,0
ID_003929,0
ID_003930,0
ID_003931,0
ID_003932,0
ID_003933,0
ID_003934,0
ID_003935,0
ID_003936,0
ID_003937,0
ID_003938,0
ID_003939,0
ID_003940,0
ID_003941,0
ID_003942,0
ID_003943,0
ID_003944,0
ID_003945,0
ID_003946,0
ID_003947,0
ID_003948,0
ID_003949,0
ID_003950,0
ID_003951,0
ID_003952,0
ID_003953,0
ID_003954,0
ID_003955,0
ID_003956,0
ID_003957,0
ID_003958,0
ID_003959,0
ID_003960,0
ID_003961,0
ID_003962,0
ID_003963,0
ID_003964,0
ID_003965,0
ID_003966,0
ID_003967,0
ID_003968,0
ID_003969,0
ID_003970,0
ID_003971,0
ID_003972,0
ID_003973,0
ID_003974,0
ID_003975,0
ID_003976,0
ID_003977,0
ID_003978,0
ID_003979,0
ID_003980,0
ID_003981,0
ID_003982,0
ID_003983,0
ID_003984,0
ID_003985,0
ID_003986,0
ID_003987,0
ID_003988,0
ID_003989,0
ID_003990,0
ID_003991,0
ID_003992,0
ID_003993,0
ID_003994,0
ID_003995,0
ID_003996,0
ID_003997,0
ID_003998,0
ID_003999,0
ID_004000,0
ID_004001,0
ID_004002,0
ID_004003,0
ID_004004,0
ID_004005,0
ID_004006,0
ID_004007,0
ID_004008,0
ID_004009,0
ID_004010,0
ID_004011,0
ID_004012,0
